Provinces,GDP
Mainland China,9769.00
Beijing,21188.00
Shanghai,20398.00
Tianjin,18241.00
Jiangsu,17404.00
Zhejiang,14907.00
Fujian,13781.00
Guangdong,13058.00
Shandong,11525.00
Inner Mongolia,10322.00
Hubei,10067.00
Chongqing,9964.00
Shaanxi,9593.00
Liaoning,8766.00
Jilin,8404.00
Ningxia,8175.00
Hunan,8001.00
Hainan,7851.00
Henan,7579.00
Xinjiang,7476.00
Sichuan,7387.00
Hebei,7219.00
Anhui,7210.00
Qinghai,7207.00
Jiangxi,7168.00
Shanxi,6850.00
Tibet,6564.00
Heilongjiang,6539.00
Guangxi,6270.00
Guizhou,6233.00
Yunnan,5612.00
Gansu,4735.00
Hong Kong,48675.00
Macau,87208.00